# witness_entry_eligibility_census stamp=2026-07-23T09:55Z grain=entry_closure roots=witness_layer_roots(test.dag with test fn/data)
entry	module_path	subject_module	subject_decl	disposition	retained_or_ineligible_reason	first_error_class	execution_leg
dag/test/claim/accelerator_demo_execution_witness_test.dag	test.claim.accelerator_demo_execution_witness	test.claim.accelerator_demo_execution_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/accelerator_demo_gpu_witness_test.dag	test.claim.accelerator_demo_gpu_witness	test.claim.accelerator_demo_gpu_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/accelerator_demo_model_witness_test.dag	test.claim.accelerator_demo_model_witness	test.claim.accelerator_demo_model_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/access_iam_validation_test.dag	test.claim.access_iam_validation	test.claim.access_iam_validation	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/access_layer_extension_witness_test.dag	test.claim.access_layer_extension_witness	test.claim.access_layer_extension_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/access_validation_test.dag	test.claim.access_validation	test.claim.access_validation	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/artifact_store_scratch_grant_witness_test.dag	test.claim.artifact_store_scratch_grant_witness	test.claim.artifact_store_scratch_grant_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/artifact_store_witness_test.dag	test.claim.artifact_store_witness	test.claim.artifact_store_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/asrock_live_probe_witness_test.dag	test.claim.asrock_live_probe	test.claim.asrock_live_probe	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/base64_rfc4648_witness_test.dag	test.claim.base64_rfc4648_witness	test.claim.base64_rfc4648_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_auth_runtime_secret_seam_test.dag	test.claim.bmc_auth_runtime_secret_seam	test.claim.bmc_auth_runtime_secret_seam	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_bootstrap_provision_witness_test.dag	test.claim.bmc_bootstrap_provision_witness	test.claim.bmc_bootstrap_provision_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_capability_solve_witness_test.dag	test.claim.bmc_capability_solve	test.claim.bmc_capability_solve	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_factory_credential_witness_test.dag	test.claim.bmc_factory_credential	test.claim.bmc_factory_credential	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_onboard_body_witness_test.dag	test.claim.bmc_onboard_body_witness	test.claim.bmc_onboard_body_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_onboarding_lifecycle_witness_test.dag	test.claim.bmc_onboarding_lifecycle	test.claim.bmc_onboarding_lifecycle	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_redfish_grounding_witness_test.dag	test.claim.bmc_redfish_grounding	test.claim.bmc_redfish_grounding	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_token_federation_witness_test.dag	test.claim.bmc_token_federation_witness	test.claim.bmc_token_federation_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	test.claim.bmc_wif_delegation_chain_witness	test.claim.bmc_wif_delegation_chain_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/budget_tree_witness_test.dag	test.claim.budget_tree_witness	test.claim.budget_tree_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/cache_key_completeness_test.dag	test.claim.cache_key_completeness	test.claim.cache_key_completeness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/cache_layer_planner_test.dag	test.claim.cache_layer_planner	test.claim.cache_layer_planner	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/cache_purity_verdict_test.dag	test.claim.cache_purity_verdict	test.claim.cache_purity_verdict	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/card_intake_risk_witness_test.dag	test.claim.card_intake_risk_witness	test.claim.card_intake_risk_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/cargo_target_path_witness_test.dag	test.claim.cargo_target_path	test.claim.cargo_target_path	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/cargo_version_witness_test.dag	test.claim.cargo_version	test.claim.cargo_version	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/ci_budget_tree_witness_test.dag	test.claim.ci_budget_tree_witness	test.claim.ci_budget_tree_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/ci_compile_jobs_witness_test.dag	test.claim.ci_compile_jobs_witness	test.claim.ci_compile_jobs_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/ci_concurrency_policy_witness_test.dag	test.claim.ci_concurrency_policy_witness_test	test.claim.ci_concurrency_policy_witness_test	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/ci_deploy_target_host_witness_test.dag	test.claim.ci_deploy_target_host_witness	test.claim.ci_deploy_target_host_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
dag/test/claim/ci_deploy_witness_test.dag	test.claim.ci_deploy_witness	test.claim.ci_deploy_witness	witness_entry	InterpretedRetained	BulkFlipPendingCensusIncomplete	CensusPending	InterpretedLeg
